baseline_date,datetime,id,node,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61965,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61965,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61966,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61966,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61970,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61970,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61971,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61971,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61972,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61972,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61976,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61976,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61977,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61977,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61978,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61978,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61979,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61979,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61980,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61980,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61981,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61981,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62462,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62462,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62463,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62463,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62464,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62464,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62450,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62450,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62451,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62451,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
