year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,ES,RNCES01,UESVIT01,100,0,10.87,768,6.79,,,,576,30.01,,,
2017,5,MG,RNCMG02,NS01MGLGS01,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR01,UPRCCE64,100,0,10.8,1024,3.92,,,,768,18.73,,,
2017,5,NE,RNCPE04,UPEIPS28,170,0,4.67,1536,3.03,,,,1536,7.52,,,
2017,5,CO,RNCGO04,UGOGNA2Y,170,0,2.66,1536,1.25,,,,1536,3.08,,,
2017,5,MG,RNCMG01,UMGBEL03,100,0,9,1024,4.57,,,,768,16.81,,,
2017,5,CO,RNCMS03,UMSCAA01,900,0,0.89,2304,2.21,,,,,,,,
2017,5,NE,RNCPB01,UPBCGE12,170,0,19.12,1536,9.4,,,,1536,25.1,,,
2017,5,CO,RNCTO01,UTOARN05,1100,0,8.78,3072,13.06,,,,2048,52.09,,,
2017,5,CO,RNCDF03,WGOLZA06,580,0,9.86,1536,16.1,,,,1536,56.32,,,
2017,5,CO,RNCGO04,UGOGNA15,940,0,5.3,3072,6.52,,,,2560,22.38,,,
2017,5,MG,RNCMG06,UMGULA02,120,0,3.13,768,1.77,,,,,,,,
2017,5,CO,RNCDF03,WDFGMA13,100,0,9.51,768,4.6,,,,576,23,,,
2017,5,MG,RNCMG06,UMGURAR2,120,0,1.17,768,0.5,,,,768,1.74,,,
2017,5,MG,RNCMG05,NS01MGARE01,,0,0,,,,,,,,,,
2017,5,NE,RNCPE04,UPEMDL11,100,0,8.1,1024,4.08,,,,,,,,
2017,5,CO,RNCMT02,NS01MTLVR04,,0,0,,,,,,,,,,
2017,5,NE,RNCCE02,NS01CETIG03,,0,0,,,,,,,,,,
2017,5,CO,RNCRO01,NS01ROJAW04,,0,0,,,,,,,,,,
2017,5,NE,RNCAL01,UALPND01,170,71,15.54,1536,9.87,,,,1536,30.54,,,
2017,5,CO,RNCDF04,CDF0005S,,0,0,,,,,,,,,,
2017,5,CO,RNCMT02,WMTROI01,100,0,13.64,768,8.72,,,,576,42.62,,,
2017,5,ES,RNCES01,UESLIN05,80,0,1.27,512,1.71,,,,,,,,
2017,5,CO,RNCDF04,UDFSQN81,900,0,5.88,2304,11.55,,,,1536,52.19,,,
2017,5,MG,RNCMG01,UMGPLA02,900,0,1.96,2304,3.42,,,,1536,14.16,,,
2017,5,NE,RNCCE02,UCEPAR19,1500,0,1.45,4608,1.97,,,,3072,9.63,,,
2017,5,MG,RNCMG01,UMGFTAI1,170,0,2.79,1536,1.36,,,,1536,3.97,,,
2017,5,CO,RNCTO01,NS01TOCIX01,,0,0,,,,,,,,,,
2017,5,CO,RNCRO01,UROAFT03,700,0,1.5,1536,5.34,,,,,,,,
2017,5,CO,RNCMS03,UMSCPE18,740,0,9.49,2304,12.38,,,,2048,42.65,,,
2017,5,MG,RNCMG01,UMGBRT22,170,0,8.33,1536,3.96,,,,1536,11.65,,,
2017,5,CO,RNCRO01,UROJIP08,940,0,4.18,3072,6.87,,,,2560,26.92,,,
2017,5,NE,RNCCE02,UCEAER05,100,0,17.94,768,9.48,,,,576,32.5,,,
2017,5,BASE,RNCBA04,UBAFSA47,760,0,2.92,2048,4.41,,,,1408,18.34,,,
2017,5,MG,RNCMG06,UMGURAR6,120,0,2.49,768,1.64,,,,768,5.54,,,
2017,5,MG,RNCMG07,NS01MGMHC02,,0,0,,,,,,,,,,
2017,5,CO,RNCGO05,NS01GOCLV07,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR02,UPRPGO22,100,0,5.84,768,3.35,,,,576,14.81,,,
2017,5,MG,RNCMG06,UMGFRU03,170,0,4.9,1536,2.07,,,,,,,,
2017,5,NE,RNCRN01,URNPTB05,80,1.75,15.7,512,10.74,,,,,,,,
2017,5,NE,RNCPE04,NS01PEIPS30,,0,0,,,,,,,,,,
2017,5,BASE,RNCBA04,UBAUMS03,,0,0,,,,,,,,,,
2017,5,NE,RNCPB01,UPBINA01,700,0,1.51,1536,4.64,,,,1024,19.31,,,
2017,5,MG,RNCMG02,NS01MGBAR19,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR02,UPRQDNR1,,0,0,,,,,,,,,,
2017,5,BASE,RNCBA02,UBAPYT02,900,0,0.89,2304,2.14,,,,1536,15.53,,,
2017,5,MG,RNCMG01,UMGCEN01,170,0,18.16,1536,7.96,,,,1536,35,,,
2017,5,MG,RNCMG06,UMGURA19,120,0,6.75,768,4.32,,,,768,13.45,,,
2017,5,MG,RNCMG06,UMGDEL01,120,0,11.9,768,9.31,,,,768,35.14,,,
2017,5,BASE,RNCBA04,UBACDG01,900,0,0.86,2304,1.89,,,,,,,,
2017,5,BASE,RNCBA01,UBAVCT07,100,0,8.16,768,4.63,,,,576,20.95,,,
2017,5,BASE,RNCBA02,UBAIIC02,700,0,0.48,1536,1.1,,,,1024,7.33,,,
2017,5,MG,RNCMG02,UMGOPR06,170,0,4.63,2304,1.16,,,,,,,,
2017,5,NE,RNCPB01,UPBPHS02,900,0,2.8,2304,6.9,,,,1536,35.1,,,
2017,5,NE,RNCAL01,UALCPE01,170,10.5,7.68,1536,6.11,,,,1536,18.62,,,
2017,5,MG,RNCMG05,UMGCAM02,170,1,1.31,1536,0.66,,,,1536,2.72,,,
2017,5,PRSC,RNCPR02,UPRAOL01,900,0,0.68,2304,1.25,,,,1536,6.32,,,
2017,5,NE,RNCCE02,UCEIRC01,900,0,0.48,2304,1.06,,,,1536,5.78,,,
2017,5,MG,RNCMG06,NS01MGPMS02,,0,0,,,,,,,,,,
2017,5,NE,RNCPI02,UPITER38,900,0,8.15,2304,14.33,,,,1536,35.59,,,
2017,5,PRSC,RNCSC02,USCJVE33,100,0,9.69,768,6.15,,,,,,,,
2017,5,MG,RNCMG06,UMGMCR03,100,0,1.35,768,0.93,,,,576,5.3,,,
2017,5,CO,RNCDF04,UDFSQS99,170,0,5.39,1536,2.67,,,,1536,8.36,,,
2017,5,BASE,RNCBA04,UBAJSS01,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR01,UPRCCJ04,100,0,4.64,1024,1.87,,,,768,8.1,,,
2017,5,NE,RNCPI02,UPITER12,1300,0,4.99,3840,8.55,,,,2560,22.09,,,
2017,5,NE,RNCPI02,UPILSR02,900,0,3.46,2304,8.19,,,,1536,21.91,,,
2017,5,MG,RNCMG06,UMGMAM01,120,0,2.11,768,1.57,,,,768,6.58,,,
2017,5,MG,RNCMG07,UMGDIV02,170,0,3.84,1536,2.07,,,,1536,6.99,,,
2017,5,ES,RNCES01,WESVIT16,120,0,1.75,768,1.42,,,,768,3.91,,,
2017,5,PRSC,RNCPR02,UPRCLG04,900,0,0.99,2304,1.89,,,,1536,12.42,,,
2017,5,NE,RNCCE02,UCEARA01,900,0,0.68,2304,1.58,,,,1536,7.17,,,
2017,5,BASE,RNCBA02,NS01BACZM03,,0,0,,,,,,,,,,
2017,5,PRSC,RNCSC02,NS01SCNVG03,,0,0,,,,,,,,,,
2017,5,CO,RNCGO04,UGOACG38,170,0,22.86,1536,10.65,,,,1536,23.66,,,
2017,5,CO,RNCGO04,WGOGNA42,580,0,9.98,1536,13.53,,,,1536,42.02,,,
2017,5,MG,RNCMG02,UMGOUP10,100,0,7.84,1024,4.41,,,,768,15.27,,,
2017,5,NE,RNCRN01,NS01RNGOH03,,0,0,,,,,,,,,,
2017,5,CO,RNCDF04,UDFTAG0D,170,0,57.87,1536,18.05,,,,1536,48.94,,,
2017,5,CO,RNCRO01,UROTRS01,900,0,1.34,2304,3.04,,,,1536,16.19,,,
2017,5,NE,RNCPI02,UPIUIO02,700,0,6.42,1536,19.56,,,,1024,52.76,,,
2017,5,PRSC,RNCPR04,UPRATG01,900,0,0.21,2304,0.38,,,,1536,2.66,,,
2017,5,NE,RNCPE04,UPEIPJ07,960,0,1.48,2688,3.33,,,,1920,14.24,,,
2017,5,CO,RNCMS03,WMSTLS10,100,0.25,18.7,768,12.02,,,,576,29.24,,,
2017,5,CO,RNCGO04,WGOGNA1S,100,0,10.94,1024,4.85,,,,768,22.62,,,
