"week";"cellname";"REGIONAL";"count";"covered_sites"
12;"UDFSOB48I";"CO";7;"UDFSOB09,UDFSOB12,UDFSOB27,UDFSOB31,UDFSOB35,UDFSOB46,WDFSOB46"
12;"UCEPJS12F";"NE";1;"UCEPJS03"
11;"UMTCBA97F";"CO";1;"UMTCBAB9"
10;"UMGURA231";"MG";1;"UMGURA26"
12;"UMTVAZ17M";"CO";1;"UMTVAZ23"
10;"UGOGNA1PB";"CO";2;"UGOGNA32,UGOGNAB0"
10;"UDFSQSB2B";"CO";1;"UDFSQN18"
10;"UMSCPE29K";"CO";2;"UMSCPE75,WMSCPE75"
10;"UPECRU35C";"NE";4;"UPECRU03,UPECRU14,UPECRU19,UPECRU29"
14;"UDFSQSC4M";"CO";4;"UDFSQS12,UDFSQS48,UDFSQS52,WDFSQS12"
11;"UGOGNA0VB";"CO";2;"UGOACG11,UGOGNA1U"
12;"UMSCPE78E";"CO";1;"UMSCPE60"
14;"UPITER44B";"NE";3;"UPITER40,UPITER55,UPITER59"
10;"UMGOLI021";"MG";1;"UMGOLI01"
14;"UPIFLO12A";"NE";2;"UPIFLO02,UPIFLO04"
10;"UGOGNAA6F";"CO";2;"UGOGNA28,UGOGNA65"
11;"UMGCTG16I";"MG";5;"UMGBET18,UMGCTG08,UMGCTG14,UMGCTG15,UMGCTG18"
13;"UDFTAG87J";"CO";9;"UDFSQS0H,UDFSQS0K,UDFSQS0L,UDFSQS27,UDFSQS67,UDFSQS68,UDFSQSA6,UDFSQSD3,UDFTAG10"
9;"UDFSQS0KN";"CO";1;"UDFSQS27"
9;"UMGULA032";"MG";1;"UMGULA13"
6;"UMGBAR092";"MG";1;"UMGIBT05"
6;"UCEACX01C";"NE";1;"UCECEA01"
9;"UMGJZF060";"MG";2;"UMGJZF25,UMGJZF40"
10;"UPITER77I";"NE";1;"UPITER22"
7;"USCFNS35A";"PRSC";2;"USCFNS32,USCFNS34"
7;"USCTRO11A";"PRSC";1;"USCTRO01"
7;"UCEPAR01O";"NE";4;"UCEPAR10,UCEPAR20,UCEPAR25,WCEPAR25"
7;"UMGPLA091";"MG";4;"UMGPLA05,UMGPLA06,UMGPLA15,UMGSLZ05"
7;"USCSBS04J";"PRSC";1;"USCSBS01"
13;"WDFTAG39M";"CO";1;"UDFTAG31"
14;"UTOTAQ06M";"CO";1;"UTOTAQ11"
12;"UGOGNA0OF";"CO";1;"UGOGNA40"
14;"UALNLO01B";"NE";1;"UALJUD01"
